date,water_level,tagsn
2018010315,2.4792,4285
2018010315,2.431,4287
2018010315,2.2808,4288
2018010316,2.5239,4285
2018010316,2.4742,4287
2018010316,2.3465,4288
2018010317,2.5752,4285
2018010317,2.5233,4287
2018010317,2.364,4288
2018010318,2.536,4285
2018010318,2.4877,4287
2018010318,2.3143,4288
2018010319,2.4974,4285
2018010319,2.4481,4287
2018010319,2.2666,4288
2018010320,2.1875,4288
2018010320,2.3715,4287
2018010320,2.4178,4285
2018010321,2.472,4285
2018010321,2.4251,4287
2018010321,2.0554,4288
2018010322,2.4597,4285
2018010322,2.4133,4287
2018010322,2.0481,4288
2018010323,2.1199,4288
2018010323,2.444,4287
2018010323,2.4896,4285
2018010324,1.7519,4288
2018010324,2.2638,4287
2018010324,2.3105,4285
2018010401,1.4356,4288
2018010401,2.0561,4287
2018010401,2.1135,4285
2018010402,1.5154,4288
2018010402,2.0751,4287
2018010402,2.1074,4285
2018010403,2.4988,4285
2018010403,1.9938,4288
2018010403,2.4506,4287
2018010404,2.3399,4285
2018010404,2.2572,4287
2018010404,2.2055,4288
2018010405,2.603,4285
2018010405,2.5264,4287
2018010405,2.3369,4288
2018010406,2.6841,4285
2018010406,2.6264,4287
2018010406,2.3685,4288
2018010407,2.4734,4288
2018010407,2.7254,4287
2018010407,2.8123,4285
2018010408,3.228,4285
2018010408,3.1598,4287
2018010408,2.6919,4288
2018010409,3.0553,4285
2018010409,3.0005,4287
2018010409,2.6271,4288
2018010410,2.8629,4285
2018010410,2.8051,4287
2018010410,2.4329,4288
2018010411,2.8449,4285
2018010411,2.7813,4287
2018010411,2.5319,4288
2018010412,2.823,4287
2018010412,2.5264,4288
2018010412,2.8862,4285
2018010413,3.0098,4285
2018010413,2.9531,4287
2018010413,2.6445,4288
2018010414,3.2723,4285
2018010414,3.2096,4287
2018010414,2.9063,4288
2018010415,3.0558,4288
2018010415,3.3448,4287
2018010415,3.4068,4285
2018010416,3.4623,4285
2018010416,3.3932,4287
2018010416,3.2013,4288
2018010417,3.395,4285
2018010417,3.3257,4287
2018010417,3.1985,4288
2018010418,2.9011,4288
2018010418,3.0899,4287
2018010418,3.1517,4285
2018010419,2.6916,4288
2018010419,2.8619,4287
2018010419,2.9215,4285
2018010420,2.7306,4285
2018010420,2.6731,4287
2018010420,2.5369,4288
2018010421,2.69,4288
2018010421,2.7055,4287
2018010421,2.7608,4285
2018010422,2.7606,4285
2018010422,2.7055,4287
2018010422,2.6629,4288
2018010423,2.9844,4285
2018010423,2.9212,4287
2018010423,2.8682,4288
2018010424,2.9453,4285
2018010424,2.8916,4287
2018010424,2.872,4288
2018010501,2.4986,4288
2018010501,2.6732,4287
2018010501,2.7445,4285
2018010502,2.1476,4288
2018010502,2.3324,4287
2018010502,2.392,4285
2018010503,1.8949,4288
2018010503,2.0422,4287
2018010503,2.097,4285
2018010504,1.8064,4287
2018010504,1.829,4285
2018010504,1.5739,4288
2018010505,1.9591,4285
2018010505,1.9392,4287
2018010505,1.7251,4288
2018010506,2.0102,4288
2018010506,2.1733,4287
2018010506,2.2097,4285
2018010507,2.4325,4288
2018010507,2.469,4285
2018010507,2.2361,4287
2018010508,2.6679,4285
2018010508,2.6302,4287
2018010508,2.5164,4288
2018010509,2.8822,4285
2018010509,2.8402,4287
2018010509,2.7119,4288
2018010510,2.731,4285
2018010510,2.4537,4288
2018010510,2.7224,4287
2018010511,2.4932,4288
2018010511,2.4752,4287
2018010511,2.5128,4285
2018010512,2.3837,4285
2018010512,2.3494,4287
2018010512,2.2478,4288
2018010513,2.5849,4285
2018010513,2.5473,4287
2018010513,2.3396,4288
2018010514,2.557,4285
2018010514,2.5194,4287
2018010514,2.303,4288
2018010515,2.6488,4285
2018010515,2.6065,4287
2018010515,2.4315,4288
2018010516,2.7363,4285
2018010516,2.6893,4287
2018010516,2.5398,4288
2018010517,2.7992,4285
2018010517,2.7472,4287
2018010517,2.6744,4288
2018010518,2.8791,4285
2018010518,2.8199,4287
2018010518,2.7328,4288
2018010519,2.8713,4285
2018010519,2.6599,4288
2018010519,2.8144,4287
2018010520,2.7673,4285
2018010520,2.551,4287
2018010520,2.6992,4288
2018010521,2.8165,4285
2018010521,2.7467,4287
2018010521,2.4822,4288
2018010522,2.3837,4285
2018010522,2.3002,4287
2018010522,2.0749,4288
2018010523,2.2144,4285
2018010523,2.1358,4287
2018010523,1.8971,4288
2018010524,2.2143,4285
2018010524,2.1683,4287
2018010524,1.9146,4288
2018010601,2.0197,4285
2018010601,2.0267,4287
2018010601,1.6989,4288
2018010602,1.9353,4285
2018010602,1.9282,4287
2018010602,1.7817,4288
2018010603,1.9687,4285
2018010603,1.9522,4287
2018010603,1.7339,4288
2018010604,2.0924,4285
2018010604,2.0636,4287
2018010604,1.7607,4288
2018010605,2.0132,4285
2018010605,1.9897,4287
2018010605,1.6706,4288
2018010606,2.2758,4285
2018010606,2.2342,4287
2018010606,2.0582,4288
2018010607,2.8312,4285
2018010607,2.7575,4287
2018010607,2.5615,4288
2018010608,3.3262,4285
2018010608,3.2532,4287
2018010608,3.0292,4288
2018010609,3.4182,4285
2018010609,3.3527,4287
2018010609,3.1643,4288
2018010610,3.4776,4285
2018010610,3.409,4287
2018010610,3.2534,4288
2018010611,3.193,4285
2018010611,3.1309,4287
2018010611,2.9225,4288
2018010612,3.0312,4285
2018010612,2.9766,4287
2018010612,2.7349,4288
2018010613,2.9552,4285
2018010613,2.9027,4287
2018010613,2.6444,4288
2018010614,2.9002,4285
2018010614,2.8461,4287
2018010614,2.5881,4288
2018010615,2.8447,4285
2018010615,2.5105,4288
2018010615,2.7954,4287
2018010616,2.6867,4285
2018010616,2.6411,4287
2018010616,2.34,4288
2018010617,2.6599,4285
2018010617,2.6102,4287
2018010617,2.3462,4288
2018010618,2.7102,4285
2018010618,2.6581,4287
2018010618,2.3787,4288
2018010619,2.6309,4285
2018010619,2.579,4287
2018010619,2.3112,4288
2018010620,2.6278,4285
2018010620,2.5728,4287
2018010620,2.2923,4288
2018010621,2.6431,4285
2018010621,2.5927,4287
2018010621,2.3872,4288
2018010622,2.6177,4285
2018010622,2.5682,4287
2018010622,2.4101,4288
2018010623,2.6225,4285
2018010623,2.568,4287
2018010623,2.4037,4288
2018010624,2.5728,4285
2018010624,2.5242,4287
2018010624,2.3225,4288
2018010701,2.3869,4285
2018010701,2.3341,4287
2018010701,2.0528,4288
2018010702,2.0887,4285
2018010702,2.0105,4287
2018010702,1.7008,4288
2018010703,2.0501,4285
2018010703,1.9778,4287
2018010703,1.6383,4288
2018010704,2.0228,4285
2018010704,1.986,4287
2018010704,1.6588,4288
2018010705,2.0055,4285
2018010705,1.9697,4287
2018010705,1.6589,4288
2018010706,2.075,4285
2018010706,2.0327,4287
2018010706,1.7933,4288
2018010707,2.487,4285
2018010707,2.44,4287
2018010707,2.28,4288
2018010708,2.8789,4285
2018010708,2.818,4287
2018010708,2.7225,4288
2018010709,3.0885,4285
2018010709,3.0249,4287
2018010709,2.9408,4288
2018010710,3.0322,4285
2018010710,2.9694,4287
2018010710,2.8168,4288
2018010711,2.8895,4285
2018010711,2.834,4287
2018010711,2.6635,4288
2018010712,2.7092,4285
2018010712,2.6536,4287
2018010712,2.4467,4288
2018010713,2.5189,4285
2018010713,2.474,4287
2018010713,2.2272,4288
2018010714,2.5495,4285
2018010714,2.4987,4287
2018010714,2.3326,4288
2018010715,2.6091,4285
2018010715,2.5583,4287
2018010715,2.3599,4288
2018010716,2.533,4285
2018010716,2.4829,4287
2018010716,2.2893,4288
2018010717,2.5522,4285
2018010717,2.5017,4287
2018010717,2.2917,4288
2018010718,2.5462,4285
2018010718,2.5061,4287
2018010718,2.1964,4288
2018010719,2.4222,4285
2018010719,2.3802,4287
2018010719,2.0745,4288
2018010720,2.2237,4285
2018010720,2.1871,4287
2018010720,1.8313,4288
2018010721,1.8617,4285
2018010721,1.8345,4287
2018010721,1.4201,4288
2018010722,2.0194,4285
2018010722,1.9827,4287
2018010722,1.4646,4288
2018010723,2.0514,4285
2018010723,2.0188,4287
2018010723,1.4854,4288
2018010724,1.8393,4285
2018010724,1.7916,4287
2018010724,1.3136,4288
2018010801,1.28,4288
2018010801,1.6851,4287
2018010801,1.7254,4285
2018010802,1.5264,4285
2018010802,1.514,4287
2018010802,1.2894,4288
2018010803,1.7341,4285
2018010803,1.699,4287
2018010803,1.2943,4288
2018010804,1.8983,4285
2018010804,1.8539,4287
2018010804,1.5692,4288
2018010805,2.3351,4285
2018010805,2.2843,4287
2018010805,2.0293,4288
2018010806,2.4334,4285
2018010806,2.3293,4287
2018010806,2.0788,4288
2018010807,2.8001,4285
2018010807,2.7143,4287
2018010807,2.2742,4288
2018010808,2.6762,4285
2018010808,2.6607,4287
2018010808,2.2772,4288
2018010809,3.1982,4285
2018010809,3.1175,4287
2018010809,2.7664,4288
2018010810,3.4467,4285
2018010810,3.3868,4287
2018010810,3.0547,4288
2018010811,3.4501,4287
2018010811,3.1951,4288
2018010811,3.5201,4285
2018010812,3.2367,4288
2018010812,3.4778,4285
2018010812,3.4111,4287
2018010813,3.4828,4285
2018010813,3.4149,4287
2018010813,3.2678,4288
2018010814,3.3426,4287
2018010814,3.2195,4288
2018010814,3.4066,4285
2018010815,3.1066,4287
2018010815,3.1726,4285
2018010815,3.0084,4288
2018010816,3.0311,4285
2018010816,2.9711,4287
2018010816,2.9347,4288
2018010817,2.8144,4285
2018010817,2.7585,4287
2018010817,2.707,4288
2018010818,2.7448,4285
2018010818,2.6904,4287
2018010818,2.528,4288
2018010819,2.8908,4285
2018010819,2.8343,4287
2018010819,2.603,4288
2018010820,2.9189,4285
2018010820,2.8647,4287
2018010820,2.6027,4288
2018010821,3.0176,4285
2018010821,2.9563,4287
2018010821,2.8094,4288
2018010822,2.8839,4287
2018010822,2.7714,4288
2018010822,2.9447,4285
2018010823,3.0514,4285
2018010823,2.9848,4287
2018010823,2.9095,4288
2018010824,2.7089,4288
2018010824,2.8818,4285
2018010824,2.8137,4287
2018010901,2.7004,4285
2018010901,2.6735,4287
2018010901,2.2942,4288
2018010902,2.4034,4285
2018010902,2.3612,4287
2018010902,2.0726,4288
2018010903,1.8867,4288
2018010903,2.1302,4287
2018010903,2.1654,4285
2018010904,2.1019,4285
2018010904,2.0683,4287
2018010904,1.848,4288
2018010905,1.7592,4288
2018010905,2.1467,4285
2018010905,2.1342,4287
2018010906,1.8111,4288
2018010906,2.1015,4287
2018010906,2.1159,4285
2018010907,2.0109,4288
2018010907,2.4019,4285
2018010907,2.3611,4287
2018010908,2.4531,4288
2018010908,2.7095,4285
2018010908,2.6643,4287
2018010909,2.5619,4288
2018010909,2.7483,4287
2018010909,2.8148,4285
2018010910,2.8504,4285
2018010910,2.7897,4287
2018010910,2.5908,4288
2018010911,2.7751,4288
2018010911,2.9009,4287
2018010911,2.9653,4285
2018010912,2.8069,4288
2018010912,2.8732,4287
2018010912,2.9326,4285
2018010913,2.7309,4285
2018010913,2.6008,4288
2018010913,2.676,4287
2018010914,2.5679,4285
2018010914,2.5161,4287
2018010914,2.4704,4288
2018010915,2.6764,4285
2018010915,2.6173,4287
2018010915,2.5739,4288
2018010916,2.6363,4288
2018010916,2.8115,4285
2018010916,2.7464,4287
2018010917,2.5397,4288
2018010917,2.6655,4287
2018010917,2.7288,4285
2018010918,2.7457,4285
2018010918,2.6789,4287
2018010918,2.5756,4288
2018010919,2.6886,4285
2018010919,2.6295,4287
2018010919,2.456,4288
2018010920,2.6808,4287
2018010920,2.7334,4285
2018010920,2.4042,4288
2018010921,2.5585,4287
2018010921,2.5793,4285
2018010921,2.3697,4288
2018010922,2.5153,4287
2018010922,2.4159,4288
2018010922,2.5459,4285
2018010923,2.3464,4285
2018010923,2.3407,4287
2018010923,2.1114,4288
2018010924,2.3596,4285
2018010924,2.3414,4287
2018010924,2.1304,4288
2018011001,2.5356,4285
2018011001,2.3517,4287
2018011001,2.2808,4288
2018011002,2.5211,4287
2018011002,2.6087,4285
2018011002,2.272,4288
2018011003,2.493,4285
2018011003,2.4425,4287
2018011003,2.1253,4288
2018011004,2.3795,4285
2018011004,2.3255,4287
2018011004,2.0925,4288
2018011005,2.3899,4285
2018011005,2.335,4287
2018011005,2.1305,4288
2018011006,2.4679,4285
2018011006,2.4145,4287
2018011006,2.2566,4288
2018011007,2.4108,4288
2018011007,2.6898,4287
2018011007,2.7552,4285
2018011008,2.9385,4285
2018011008,2.8759,4287
2018011008,2.6889,4288
2018011009,3.2191,4285
2018011009,2.9776,4288
2018011009,3.147,4287
2018011010,3.081,4287
2018011010,3.0606,4288
2018011010,3.1491,4285
2018011011,2.8312,4285
2018011011,2.7766,4287
2018011011,2.7667,4288
2018011012,2.579,4285
2018011012,2.5248,4287
2018011012,2.4877,4288
2018011013,2.4159,4288
2018011013,2.477,4287
2018011013,2.5381,4285
2018011014,2.3478,4288
2018011014,2.4619,4287
2018011014,2.5187,4285
2018011015,2.5671,4285
2018011015,2.5094,4287
2018011015,2.4508,4288
2018011016,2.6173,4285
2018011016,2.5575,4287
2018011016,2.4895,4288
2018011017,2.5481,4285
2018011017,2.491,4287
2018011017,2.3793,4288
2018011018,2.6339,4285
2018011018,2.5731,4287
2018011018,2.4054,4288
2018011019,2.6523,4285
2018011019,2.5944,4287
2018011019,2.4084,4288
2018011020,2.5952,4287
2018011020,2.657,4285
2018011020,2.4144,4288
2018011021,2.5329,4285
2018011021,2.4757,4287
2018011021,2.2623,4288
2018011022,1.978,4288
2018011022,2.1913,4287
2018011022,2.222,4285
2018011023,1.8643,4288
2018011023,2.0047,4287
2018011023,2.0466,4285
2018011024,2.1655,4285
2018011024,2.1251,4287
2018011024,1.9789,4288
2018011101,2.2917,4285
2018011101,2.2166,4287
2018011101,1.9167,4288
2018011102,2.2388,4285
2018011102,2.1788,4287
2018011102,1.9339,4288
2018011103,2.2634,4285
2018011103,2.2075,4287
2018011103,2.0551,4288
2018011104,1.9101,4285
2018011104,1.829,4287
2018011104,1.703,4288
2018011105,1.5537,4287
2018011105,1.6636,4285
2018011105,1.3335,4288
2018011106,1.261,4288
2018011106,1.5732,4287
2018011106,1.641,4285
2018011107,1.6307,4285
2018011107,1.568,4287
2018011107,1.2004,4288
2018011108,1.5978,4288
2018011108,1.9127,4287
2018011108,1.9481,4285
2018011109,1.8943,4288
2018011109,2.2273,4285
2018011109,2.1812,4287
2018011110,2.4341,4285
2018011110,2.3954,4287
2018011110,2.1993,4288
2018011111,2.6366,4285
2018011111,2.5833,4287
2018011111,2.3336,4288
2018011112,2.7467,4285
2018011112,2.6897,4287
2018011112,2.4572,4288
2018011113,2.6801,4288
2018011113,2.8778,4287
2018011113,2.9333,4285
2018011114,3.0013,4285
2018011114,2.9362,4287
2018011114,2.8282,4288
2018011115,2.9903,4285
2018011115,2.923,4287
2018011115,2.7847,4288
2018011116,2.9695,4288
2018011116,3.1319,4287
2018011116,3.1945,4285
2018011117,2.8015,4287
2018011117,2.8262,4288
2018011117,2.8653,4285
2018011118,3.0378,4285
2018011118,2.9778,4287
2018011118,2.8144,4288
2018011119,2.8794,4285
2018011119,2.8232,4287
2018011119,2.6131,4288
2018011120,2.814,4285
2018011120,2.7529,4287
2018011120,2.4815,4288
2018011121,2.69,4285
2018011121,2.635,4287
2018011121,2.3581,4288
2018011122,2.5785,4285
2018011122,2.5267,4287
2018011122,2.2494,4288
2018011123,2.4906,4285
2018011123,2.4407,4287
2018011123,2.1627,4288
2018011124,2.3991,4285
2018011124,2.3203,4287
2018011124,1.8747,4288
2018011201,1.8315,4288
2018011201,2.2945,4287
2018011201,2.3434,4285
2018011202,2.4153,4285
2018011202,2.3271,4287
2018011202,2.1159,4288
2018011203,1.9539,4288
2018011203,2.1011,4287
2018011203,2.1471,4285
2018011204,1.9893,4285
2018011204,1.9587,4287
2018011204,1.8096,4288
2018011205,1.8135,4288
2018011205,1.9038,4287
2018011205,1.9319,4285
2018011206,2.1884,4287
2018011206,1.9565,4288
2018011206,2.2137,4285
2018011207,2.2613,4288
2018011207,2.6198,4285
2018011207,2.5581,4287
2018011208,2.4282,4288
2018011208,2.8778,4285
2018011208,2.8156,4287
2018011209,2.9483,4285
2018011209,2.8773,4287
2018011209,2.548,4288
2018011210,3.0016,4285
2018011210,2.937,4287
2018011210,2.6694,4288
2018011211,3.1245,4285
2018011211,3.056,4287
2018011211,2.8346,4288
2018011212,3.258,4285
2018011212,3.1912,4287
2018011212,2.9351,4288
2018011213,3.3924,4285
2018011213,3.3126,4287
2018011213,3.0659,4288
2018011214,3.2235,4288
2018011214,3.4686,4285
2018011214,3.3921,4287
2018011215,3.1809,4285
2018011215,3.1131,4287
2018011215,3.0108,4288
2018011216,2.9609,4285
2018011216,2.9008,4287
2018011216,2.7343,4288
2018011217,2.8655,4287
2018011217,2.7524,4288
2018011217,2.9291,4285
2018011218,2.6038,4288
2018011218,2.9421,4285
2018011218,2.8813,4287
2018011219,2.6279,4285
2018011219,2.3845,4288
2018011219,2.5757,4287
2018011220,2.6264,4285
2018011220,2.5728,4287
2018011220,2.3687,4288
2018011221,2.6184,4285
2018011221,2.5476,4287
2018011221,2.2968,4288
2018011222,2.675,4285
2018011222,2.5642,4287
2018011222,2.4695,4288
2018011223,3.1482,4285
2018011223,3.1003,4287
2018011223,2.882,4288
2018011224,2.9741,4285
2018011224,2.9608,4287
2018011224,2.6465,4288
2018011301,2.8307,4285
2018011301,2.7845,4287
2018011301,2.4108,4288
2018011302,2.5476,4285
2018011302,2.4989,4287
2018011302,2.1868,4288
2018011303,2.5249,4285
2018011303,2.4775,4287
2018011303,2.2524,4288
2018011304,2.2846,4288
2018011304,2.3374,4287
2018011304,2.4113,4285
2018011305,2.4407,4285
2018011305,2.3683,4287
2018011305,2.3313,4288
2018011306,2.4434,4288
2018011306,2.5908,4285
2018011306,2.5374,4287
2018011307,2.7176,4288
2018011307,2.7857,4285
2018011307,2.7233,4287
2018011308,2.8034,4288
2018011308,2.9076,4285
2018011308,2.8446,4287
2018011309,2.7319,4288
2018011309,2.8222,4287
2018011309,2.8767,4285
2018011310,2.7652,4285
2018011310,2.6977,4287
2018011310,2.5878,4288
2018011311,2.768,4285
2018011311,2.7056,4287
2018011311,2.539,4288
2018011312,2.7363,4285
2018011312,2.6749,4287
2018011312,2.425,4288
2018011313,2.6492,4287
2018011313,2.3781,4288
2018011313,2.7158,4285
2018011314,2.4454,4285
2018011314,2.4095,4287
2018011314,2.259,4288
2018011315,2.5536,4285
2018011315,2.5146,4287
2018011315,2.2917,4288
2018011316,2.4229,4288
2018011316,2.6528,4285
2018011316,2.6087,4287
2018011317,2.6192,4287
2018011317,2.4103,4288
2018011317,2.6633,4285
2018011318,2.4197,4285
2018011318,2.3101,4287
2018011318,2.1154,4288
2018011319,2.3396,4287
2018011319,2.4321,4285
2018011319,2.0195,4288
2018011320,2.4918,4285
2018011320,2.3983,4287
2018011320,2.0923,4288
2018011321,2.4962,4285
2018011321,2.4479,4287
2018011321,2.0992,4288
2018011322,2.3631,4285
2018011322,2.2441,4287
2018011322,2.1305,4288
2018011323,2.2967,4285
2018011323,2.2634,4287
2018011323,1.966,4288
2018011324,2.3248,4287
2018011324,2.3653,4285
2018011324,2.0439,4288
2018011401,2.3379,4285
2018011401,2.2983,4287
2018011401,1.9723,4288
2018011402,2.2765,4285
2018011402,2.2394,4287
2018011402,1.9275,4288
2018011403,1.8857,4288
2018011403,2.2048,4287
2018011403,2.246,4285
2018011404,2.3037,4285
2018011404,2.2555,4287
2018011404,1.9478,4288
2018011405,2.4363,4287
2018011405,2.4823,4285
2018011405,2.1752,4288
2018011406,2.6485,4285
2018011406,2.5981,4287
2018011406,2.3523,4288
2018011407,2.6953,4288
2018011407,2.8561,4287
2018011407,2.9156,4285
2018011408,3.4078,4285
2018011408,3.3313,4287
2018011408,3.1841,4288
2018011409,3.421,4285
2018011409,3.3514,4287
2018011409,3.3744,4288
2018011410,3.0232,4288
2018011410,3.1069,4287
2018011410,3.1743,4285
2018011411,3.0948,4285
2018011411,3.0293,4287
2018011411,2.947,4288
2018011412,3.0536,4285
2018011412,2.9927,4287
2018011412,2.8167,4288
2018011413,2.9469,4285
2018011413,2.8912,4287
2018011413,2.6896,4288
2018011414,2.5084,4285
2018011414,2.4237,4287
2018011414,2.4178,4288
2018011415,2.6669,4285
2018011415,2.6074,4287
2018011415,0,4288
2018011416,2.6322,4285
2018011416,2.5782,4287
2018011416,2.1942,4288
2018011417,2.5564,4285
2018011417,2.5036,4287
2018011417,2.1309,4288
2018011418,1.9364,4288
2018011418,2.2307,4287
2018011418,2.28,4285
2018011419,2.0907,4285
2018011419,2.0905,4287
2018011419,1.8046,4288
2018011420,0,4285
2018011420,2.1459,4287
2018011420,1.7063,4288
2018011421,2.3906,4285
2018011421,2.3339,4287
2018011421,1.8222,4288
2018011422,2.447,4285
2018011422,2.3957,4287
2018011422,1.9306,4288
2018011423,2.5187,4285
2018011423,2.4686,4287
2018011423,2.0118,4288
2018011424,2.4815,4285
2018011424,2.4333,4287
2018011424,2.0195,4288
2018011501,2.4502,4285
2018011501,2.4027,4287
2018011501,1.9925,4288
2018011502,2.4297,4285
2018011502,2.3786,4287
2018011502,1.9923,4288
2018011503,2.0046,4288
2018011503,2.4637,4285
2018011503,2.3984,4287
2018011504,2.3295,4285
2018011504,2.2305,4287
2018011504,2.0108,4288
2018011505,2.576,4285
2018011505,2.5444,4287
2018011505,2.274,4288
2018011506,2.4187,4288
2018011506,2.6588,4285
2018011506,2.6241,4287
2018011507,2.8111,4285
2018011507,2.729,4287
2018011507,2.6054,4288
2018011508,2.9368,4285
2018011508,2.8417,4287
2018011508,2.7254,4288
2018011509,3.1487,4285
2018011509,3.056,4287
2018011509,2.8109,4288
2018011510,2.9759,4288
2018011510,3.1022,4287
2018011510,3.1621,4285
2018011511,2.9939,4285
2018011511,2.9278,4287
2018011511,2.861,4288
2018011512,2.9285,4285
2018011512,2.8658,4287
2018011512,2.7561,4288
2018011513,2.5593,4288
2018011513,2.7038,4287
2018011513,2.7623,4285
2018011514,2.8093,4285
2018011514,2.7501,4287
2018011514,2.4334,4288
2018011515,2.8416,4285
2018011515,2.7838,4287
2018011515,2.5823,4288
2018011516,2.6308,4285
2018011516,2.579,4287
2018011516,2.372,4288
2018011517,2.469,4285
2018011517,2.4192,4287
2018011517,2.2502,4288
2018011518,2.5392,4285
2018011518,2.4936,4287
2018011518,2.1827,4288
2018011519,2.5918,4285
2018011519,2.5395,4287
2018011519,2.1994,4288
2018011520,2.4902,4285
2018011520,2.4442,4287
2018011520,2.0715,4288
2018011521,2.3594,4285
2018011521,2.3112,4287
2018011521,1.923,4288
2018011522,2.171,4285
2018011522,2.1299,4287
2018011522,1.7316,4288
2018011523,2.0337,4285
2018011523,1.9959,4287
2018011523,1.602,4288
2018011524,1.9404,4285
2018011524,1.9043,4287
2018011524,1.5295,4288
2018011601,1.4837,4288
2018011601,1.904,4285
2018011601,1.8659,4287
2018011602,1.8874,4285
